,微博用户名,发布时间,微博链接,微博内容,认证标志,转发数,评论数,点赞数,,
39,去自然里,08月29日 02:48,//weibo.com/2691543423/M3czw9Aoq?refer_flag=1001030103_,好漫长的一天啊……山火扑灭了重庆下雨了疫情也会过去的 ?,None,0,1,2,28,
40,小彭友YY,08月29日 02:48,//weibo.com/1570992222/M3cznel5Q?refer_flag=1001030103_,X在任期间带出的军队还是不错的！（至少在媒体舆论上反应出来的）重庆高温又山火，山火犹如一堵墙，不过最终重庆在各方支援下还是攻破了这堵墙重庆群众实力宠消防员的热情也热 ?,None,0,0,0,84,
41,刘洋Jocelyn,08月29日 02:47,//weibo.com/3516400625/M3cyW2cLn?refer_flag=1001030103_,一场疫情让上海漏出丑恶嘴脸，一场山火照出川渝人民坚定的意志。澳大利亚山火政府只能纵容它们肆意蔓延数月，美国加州山火政府雇佣囚犯去灭火。重庆山火消防兵 志愿者和老百姓人员用不过来的用。还有欢送外地消防战士，送食品 送闺蜜 拦车感谢 超级温暖.能想到，如果有一天真的不幸再次发生战争，现在的中国真的不容轻视。国家有信仰 人民有力量。抖音刷着刷着热泪盈眶的，在想 人的一生总要轰轰烈烈一次吧 不负韶华. 收起d,None,1,0,1,202,
42,语文王老师的微博,08月29日 02:44,//weibo.com/5879907081/M3cxAu5fo?refer_flag=1001030103_,【#重庆群众自发骑摩托运送救火物资# 辛苦了！】昨天，重庆北碚区发生山火，上万名志愿者主动参与救援。其中，不少群众自发组成摩托车队，帮忙运送物资进山。致敬，一定注意安全！网友：#这些娃儿侠肝义胆#，好样的！  L央视新闻的微博视频 ?,yellow,0,0,0,117,
43,桃子的小Hl,08月29日 02:42,//weibo.com/5060775378/M3cxaqAGG?refer_flag=1001030103_,#在重庆有一种感动叫双向奔赴##这道防火长城坚不可摧##重庆山火# #向消防官兵致敬# #这些娃儿侠肝义胆# 一张张深情的面孔、一幅幅感人的画面、一颗颗激情的心、一滴滴汗水和泪水、一双双不舍的手，让世界记住您们！让中国记住您们！让重庆记住您们！让北碚记住您们！让每个人记住您们！[爱心][爱心][玫瑰][玫瑰][合十][合十][合十致敬所有逆行者！ L桃子的小Hl的微博视频 收起d,None,0,0,0,191,
44,检察官张聪,08月29日 02:41,//weibo.com/3761691972/M3cwti8Vs?refer_flag=1001030103_,【#95后小伙瞒着家人到重庆救火#】8月21日晚22时30分，重庆市北碚区虎头山突发山火。山东籍95后小伙丁云骢得知后，马不停蹄上山参与救援。得知因山势陡峭，坡度最高达60度，很多物资通过车辆无法送达到灭火一线。丁云骢就骑着摩托车，在高温下，背着几十斤的物资，反复上下山将物资送达指定位置，即使出现中暑、呕吐，手脚抽筋等情况，他依旧坚持递送物资，直至山火扑灭，“要拿出咱山东大汉的气势，该出手时就出手。”为丁云骢点赞！L闪电新闻的微博视频 收起d,gold,4,2,5,223,
45,小飞侠262,08月29日 02:38,//weibo.com/3747031262/M3cvbsSg2?refer_flag=1001030103_,#重庆高温山火# 老师说带过去拍个视频，没成想是我们最近密切关注的重庆山火内容一直很感恩消防官兵战士和各路志愿者们，哪怕是我们的邻居和同学家长都做了很多志愿活动和捐款捐物，在这些优秀的身边人面前觉得自己更渺小了??超级谢谢Vivian老师这么短的时间可以做出这么有意义的视频，真的全靠老师的神剪辑 L小飞侠262的微博视频 收起d,None,0,0,0,165,
46,迟小荻呀,08月29日 02:35,//weibo.com/6123000185/M3cu0uMal?refer_flag=1001030103_,#重庆已组织1500余人扑救巴南山火# 也许并非所有人都生来圆满但是很多的他们也在用自己的方式为生命赋予不一样的意义。 ?,None,0,0,1,61,
47,悠悠添意,08月29日 02:33,//weibo.com/1664372934/M3ctdcivq?refer_flag=1001030103_,八月的重庆很艰难，高温、干旱、限电、山火、疫情，但这些关卡都没难倒我们，更像是参加了新世纪的淮海战役。看看重庆的抗战史，抗日战争期间，日本对中国战时首都重庆进行长达五年半的战略轰炸，五年半的时间都没有被打垮的城市；让从亚洲打到欧洲，所向披靡横扫天下的“上帝之鞭”蒙古大军，最终折戟沉沙的城市。自古以来也就是这些刻在骨子里的“宁愿死，也不降”的彪悍，让这座城市从未在战争中沦陷，成为殖民地。当年革命先辈血性良知的底蕴和遗风，如今依然。1在知道可以报名志愿者时，接连打了好几个电话，一边等待电话通知，一边收拾了行李径直前往，等了四五个小时候才收到通过的结果。由于报名的人太多，再到后来的志愿者还需要取号、排队，直到取消招募。晚上送物资，当时有个组织人员说，“只需要30个男生，其余请离开找地方休息”的时候，所有男生都冲上去举双手说，“我我我我”，那一刻直接泪崩。大灾来临、大难来袭，不怨天不尤人，都不计得失，都不计生死，都团结互助，都生死相依。2虽然没在前线直面山火，当摩友拉着物资一趟又一趟地送到我们手中，回来路上周边行人一声声“辛苦了，谢谢你们”，不管再累，心里都是暖的。这是我们的家乡，豪情、耿直、江湖侠义永远是她带给我们的精神底色。3一直也在反省着自己，后悔没圆老爸的理想，没去参军入伍；后悔因为物理单科成绩拖后腿，没有选更擅长且优势太多太多的理科；后悔没出国念书，去学习尖端技术，回来好师夷长技以制夷。4劣币驱逐良币每天都在发生，劣和良不是单看价值高低，而是能不能拎清规则，能不能看清本质，能不能基于事物本质创造良性价值的区别。一个没看明白没拎清楚规则的人，又要造出大动静，对那些原本在规则内，好好做事生活的人来说，往小了说，是蝴蝶效应持续带来的负面震荡，往大了说，就是一场灾难。这是看海峡新闻的强烈感受，原来标准降级、专业能力降级的不局限各个行业中。相信孙中山先生、林肯总统、华盛顿总统、罗斯福总统还在世，现在整个世界的发展至少会往前推进半个多世纪。如若不是为了领土完整，中国人根本不屑与投降派、叛国者同一国籍。当然，这也是为什么某些人会负隅顽抗的原因，对于他们，回归后等着的只能是权利剥夺、审判与制裁。对于作为核心产业的台积电，如果“当权者”没有完备的知识看清全球环境，那所做的决定可能是不符合趋势发展，甚至是不符合道德标准的，但自己却无法感知得到。还再三上演着农夫与蛇的故事。———————我想，看一个人，不能看盛世时的歌舞升平，要看面对灾难时的态度和行为；看一座城市也是这样，不能看盛世时的歌舞升平，要看面对灾难时的态度和行为；看一个国家更应是如此，不能看在盛世时的歌舞升平，要看面对灾难时的态度和行为。在这个夏天，我们交出了答卷。 收起d,None,0,0,2,1127,
48,么么什_,08月29日 02:31,//weibo.com/5705480368/M3cso7lxU?refer_flag=1001030103_,是重庆高温的最后一天，jy山火扑灭的第一天，我们在山对面看了日出，因为疫情因为封山因为缘分，山顶空空，只有我们 ?,None,0,0,0,57,
