Unnamed: 0,微博用户名,发布时间,微博链接,微博内容,转发数,评论数,点赞数,Unnamed: 9,Unnamed: 10
2187.0,中国青年报,08月25日 10:00,//weibo.com/1726918143/M2DGArxSd?refer_flag=1001030103_,#谢谢你保护了我们#【这就是人民子弟兵！#救火战士休息时和衣而卧#】重庆突发山火，解放军战士奋战了一夜，休息时，他们和衣而卧，睡在了地上。（西陆强军号）L西陆强军号的微博视频 ?,12.0,14.0,225.0,89,
2252.0,环球时报,08月25日 11:50,//weibo.com/1974576991/M2EpemfVy?refer_flag=1001030103_,#95岁外婆煮稀饭给救山火人员补充体力#【辛苦了！#9旬老人给救山火人员煮稀饭# 】8月23日，在重庆，救山火人员深夜在院子里休息，95岁的外婆为大家煮稀饭补充体力。拍摄者表示，由于情况紧急，家里没有很好的饭菜，只能先煮稀饭让大家吃点东西填饱肚子。网友：人间大爱，谢谢外婆！@人民视频 L人民视频的微博视频 收起d,55.0,93.0,1108.0,157,
2390.0,央视新闻,08月25日 11:28,//weibo.com/2656274875/M2EgGdlwM?refer_flag=1001030103_,【#重庆群众自发骑摩托运送救火物资# 辛苦了！】昨天，重庆北碚区发生山火，上万名志愿者主动参与救援。其中，不少群众自发组成摩托车队，帮忙运送物资进山。致敬，一定注意安全！网友：#这些娃儿侠肝义胆#，好样的！ L央视新闻的微博视频 ?,2058.0,2111.0,44056.0,116,
2556.0,中国日报,08月25日 11:00,//weibo.com/1663072851/M2E4WnfJU?refer_flag=1001030103_,【#95岁老人深夜煮粥支援救山火队员#】8月23日，重庆，救山火人员深夜在院子里休息，95岁的外婆为大家煮稀饭补充体力。拍摄者表示，由于情况紧急，家里也没有很好的饭菜，就只能先煮稀饭让大家吃点东西填饱肚子。网友：谢谢外婆，愿大家都平安归来！@人民视频 L人民视频的微博视频 ?,15.0,14.0,327.0,138,
2569.0,中国新闻社,08月25日 12:58,//weibo.com/3604378011/M2ERbpTeT?refer_flag=1001030103_,【#重庆志愿者自发骑摩托运送救火物资#】#重庆救火志愿者称像我们糟老头也来了#24日，重庆北碚区发生山火，上万名志愿者主动参与救援。其中，不少群众自发组成摩托车队，帮忙运送物资进山。其中一名志愿者称，骑摩托车的大家好给力，年轻的也有，老的也有，像我们这糟老头子也上来了。网友：被这句糟老头戳到了，一定注意安全！@央视新闻 L央视新闻的微博视频 收起d,0.0,2.0,34.0,175,
2606.0,中国日报中文网,08月25日 12:54,//weibo.com/2122109105/M2EPiCbyF?refer_flag=1001030103_,【#95岁老人深夜煮粥支援救山火队员#】8月23日，重庆，救山火人员深夜在院子里休息，95岁的外婆为大家煮稀饭补充体力。拍摄者表示，由于情况紧急，家里也没有很好的饭菜，就只能先煮稀饭让大家吃点东西填饱肚子。网友：谢谢外婆，愿大家都平安归来！@人民视频 L人民视频的微博视频 ???,0.0,0.0,0.0,140,
2726.0,中国日报网,08月25日 12:35,//weibo.com/2127460165/M2EHulQRi?refer_flag=1001030103_,【#95岁老人深夜煮粥支援救山火队员#】8月23日，重庆，救山火人员深夜在院子里休息，95岁的外婆为大家煮稀饭补充体力。拍摄者表示，由于情况紧急，家里也没有很好的饭菜，就只能先煮稀饭让大家吃点东西填饱肚子。网友：谢谢外婆，愿大家都平安归来！@人民视频 L人民视频的微博视频 ?,1.0,1.0,17.0,138,
2887.0,中国妇女报,08月25日 12:08,//weibo.com/2606218210/M2EwG9ad1?refer_flag=1001030103_,【#95岁外婆煮稀饭给救山火人员补充体力#】8月23日，在重庆，救山火人员深夜在院子里休息，95岁的外婆为大家煮稀饭补充体力。拍摄者表示，由于情况紧急，家里没有很好的饭菜，只能先煮稀饭让大家吃点东西填饱肚子。网友：人间大爱，谢谢外婆！@人民视频 L人民视频的微博视频 ?,8.0,4.0,140.0,135,
2938.0,中国新闻网,08月25日 12:00,//weibo.com/1784473157/M2Etjx2rO?refer_flag=1001030103_,【#重庆志愿者自发骑摩托运送救火物资#】#重庆救火志愿者称像我们糟老头也来了#24日，重庆北碚区发生山火，上万名志愿者主动参与救援。其中，不少群众自发组成摩托车队，帮忙运送物资进山。其中一名志愿者称，骑摩托车的大家好给力，年轻的也有，老的也有，像我们这糟老头子也上来了。网友：被这句糟老头戳到了，一定注意安全！@央视新闻 L央视新闻的微博视频 收起d,40.0,50.0,736.0,175,
3111.0,央视网快看,08月25日 13:42,//weibo.com/1977460817/M2F8OpaHB?refer_flag=1001030103_,【#数百摩托骑士向重庆山火逆行# 网友说：“北碚90%的摩托车都来了”】#他们骑着最帅的摩托背着最大的背篓#重庆北碚缙云山的山火仍未熄灭！缙云山是著名的登山徒步圣地，山险坡陡。这样的地形突发山火，救援的汽车很难将人员和物资运动上去。8月22日，一位正在帮忙扑灭山火的摩友接到电话，被询问是否能多叫一些摩托车来拉物资。随着“请兄弟们来北碚，摩托车拉物资救火”的短视频的发出，不到1小时就来了500多名越野摩托车爱好者，网友说：“北碚90%的摩托车都来了”......#重庆群众自发背物资徒步上山##重庆机车少年送云南消防员上前线##重庆山火# L央视网快看的微博视频 收起d,642.0,165.0,6042.0,286,
